link_mtu_bytes,frame_bytes,payload_bytes,mtu_sufficient,throughput_mbps,goodput_mbps,avg_delay_ms,packet_loss_rate_pct,overhead_ratio_pct,flowmonitor_drop_events,oversized_packet_drops
512,1028,1000,0,8.223086,7.999111,2.859200,0.000000,2.723735,0,0
800,1028,1000,0,8.223086,7.999111,2.841600,0.000000,2.723735,0,0
1024,1028,1000,0,8.223086,7.999111,2.841600,0.000000,2.723735,0,0
1028,1028,1000,1,8.223086,7.999111,2.824000,0.000000,2.723735,0,0
1200,1028,1000,1,8.223086,7.999111,2.824000,0.000000,2.723735,0,0
1500,1028,1000,1,8.223086,7.999111,2.824000,0.000000,2.723735,0,0
