congestion_mode,offered_load_pct,total_offered_mbps,packet_size_bytes,bottleneck_mbps,active_senders,throughput_mbps,goodput_mbps,avg_delay_ms,packet_loss_rate_pct,overhead_ratio_pct
without_congestion,20,2.000,512,10,1,2.108607,1.999272,6.749533,0.035311,5.185185
with_congestion,20,2.000,512,10,3,2.107713,1.998424,6.733917,0.000000,5.185185
with_congestion,40,4.000,512,10,3,3.685109,3.494029,382.630394,12.586572,5.185185
with_congestion,60,6.000,512,10,3,3.725777,3.532588,723.979272,41.081272,5.185185
with_congestion,80,8.000,512,10,3,3.750803,3.556317,1410.229149,55.514920,5.185185
with_congestion,100,10.000,512,10,3,3.749164,3.554763,2381.067343,64.426855,5.185185
with_congestion,120,12.000,512,10,3,3.752590,3.558012,3418.680728,70.328971,5.185185
