link_type,bottleneck_mbps,packet_size_bytes,active_senders,offered_load_mbps,throughput_mbps,goodput_mbps,avg_delay_ms,packet_loss_rate_pct,overhead_ratio_pct
wireless,10,128,3,12.000,0.823250,0.675487,6639.538767,94.367035,17.948718
wireless,10,256,3,12.000,1.742311,1.570534,6749.358417,86.903058,9.859155
wireless,10,512,3,12.000,3.753037,3.558435,3415.806525,70.325438,5.185185
wireless,10,1024,3,12.000,6.953067,6.768004,773.684136,43.559482,2.661597
wireless,10,1500,3,12.000,0.468727,0.460138,1265.922447,96.162606,1.832461
